"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"2","78.6","0.86","24","0","0","0.09","0.01","0.009","0.10","0.002","0.035","0.08","47.5","11.1","0.015","7.48","0.03","18","0.03","0.02","5.0","7","17.5","Layak Diminum"
"3","76.6","0.84","24","0","0","0.07","0.02","0.009","0.08","0.005","0.031","0.09","47.5","12.1","0.008","7.57","0.02","14","0.03","0.02","4.8","7.5","20","Layak Diminum"
"2","78.7","0.81","24","0","0","0.08","0.02","0.010","0.09","0.004","0.041","0.04","41.6","11.4","0.004","7.61","0.02","7","0.01","0.01","5.3","6.6","21","Layak Diminum"
"2","84.0","0.87","24","0","0","0.08","0.01","0.011","0.04","0.002","0.047","0.06","45.5","10.5","0.009","7.58","0.01","9","0.02","0.02","5.6","7.5","22","Layak Diminum"
"2","85.2","0.84","24","0","0","0.08","0.02","0.008","0.04","0.003","0.046","0.07","43.6","10.8","0.006","7.47","0.02","13","0.03","0.02","5.9","6.2","18.5","Layak Diminum"
"3","79.1","0.88","24","0","0","0.04","0.01","0.008","0.06","0.001","0.058","0.02","49.5","11.3","0.006","7.50","0.01","12","0.02","0.02","5.6","6.2","21","Layak Diminum"
"2","80.0","0.86","24","0","0","0.04","0.02","0.004","0.09","0.000","0.034","0.03","47.5","10.9","0.006","7.56","0.02","28","0.02","0.03","5.3","7.5","21","Layak Diminum"
"2","83.2","0.90","24","0","0","0.02","0.01","0.005","0.13","0.000","0.023","0.03","45.5","11.0","0.014","7.51","0.02","25","0.01","0.01","5.3","7","22","Layak Diminum"
"1","83.6","0.78","24","0","0","0.02","0.01","0.007","0.18","0.002","0.031","0.05","45.5","11.2","0.007","6.95","0.03","24","0.01","0.02","4.8","7.5","19","Layak Diminum"
"1","84.4","0.73","22","0","0","0.03","0.01","0.009","0.05","0.002","0.032","0.08","41.6","11.5","0.013","7.60","0.02","21","0.02","0.02","5.0","5.3","19.5","Layak Diminum"
"1","88.2","0.75","22","0","0","0.03","0.01","0.007","0.08","0.002","0.032","0.09","47.5","11.6","0.011","7.56","0.02","22","0.01","0.02","4.5","5.7","20","Layak Diminum"
"1","90.4","0.84","22","0","0","0.01","0.01","0.004","0.07","0.002","0.027","0.04","45.5","32.0","0.011","7.52","0.04","22","0.07","0.06","8.9","6.2","31.5","Layak Diminum"
"1","90.8","0.80","22","0","0","0.04","0.01","0.003","0.16","0.003","0.014","0.02","41.6","4.5","0.013","6.93","0.02","28","0.01","0.02","2.4","27.3","11.5","Layak Diminum"
"2","84.2","0.88","23","0","0","0.04","0.01","0.005","0.17","0.003","0.018","0.02","39.6","4.4","0.007","6.90","0.01","26","0.00","0.03","1.8","27.3","15.5","Layak Diminum"
"1","86.4","0.73","22","0","0","0.04","0.01","0.014","0.12","0.001","0.016","0.02","45.5","4.2","0.007","6.98","0.01","26","0.00","0.02","1.8","29","18","Layak Diminum"
"1","87.8","0.72","22","0","0","0.06","0.01","0.015","0.12","0.000","0.009","0.03","45.5","4.8","0.008","6.98","0.02","24","0.01","0.03","2.4","30.8","18","Layak Diminum"
"2","80.6","0.80","22","0","0","0.07","0.01","0.013","0.15","0.000","0.011","0.03","43.6","4.3","0.008","7.02","0.02","25","0.01","0.03","2.1","30.8","17","Layak Diminum"
"2","86.4","0.76","22","0","0","0.09","0.01","0.011","0.10","0.000","0.007","0.02","41.6","4.5","0.008","6.98","0.03","21","0.03","0.02","2.4","29.9","19.5","Layak Diminum"
"1","78.6","0.75","22","0","0","0.09","0.01","0.005","0.11","0.000","0.005","0.05","47.5","4.6","0.004","6.99","0.02","20","0.02","0.01","2.1","30.8","14","Layak Diminum"
"1","90.2","0.77","22","0","0","0.05","0.01","0.006","0.09","0.001","0.014","0.03","41.6","4.7","0.006","7.03","0.01","18","0.02","0.02","2.4","30.8","130","Layak Diminum"
"2","91.0","0.74","22","0","0","0.05","0.01","0.004","0.09","0.000","0.016","0.02","49.5","4.6","0.006","7.01","0.01","24","0.02","0.02","2.1","28.2","15.5","Layak Diminum"
"1","86.7","0.68","22","0","0","0.04","0.01","0.007","0.07","0.001","0.016","0.04","45.5","5.0","0.007","6.98","0.02","20","0.01","0.01","2.7","28.2","16","Layak Diminum"
"2","80.6","0.85","22","0","0","0.07","0.01","0.005","0.14","0.003","0.016","0.04","45.5","5.2","0.008","7.04","0.02","29","0.03","0.01","1.8","29","15.5","Layak Diminum"
"2","85.4","0.78","22","0","0","0.07","0.02","0.009","0.18","0.000","0.021","0.05","41.6","5.1","0.005","6.97","0.03","35","0.02","0.01","2.4","29.9","15.5","Layak Diminum"
"1","87.1","0.83","22","0","0","0.07","0.02","0.009","0.12","0.002","0.019","0.05","41.6","5.3","0.004","6.96","0.01","24","0.02","0.02","3.0","29.9","14","Layak Diminum"
"1","84.7","0.71","22","0","0","0.03","0.02","0.007","0.13","0.005","0.018","0.07","47.5","5.3","0.007","6.93","0.02","31","0.01","0.02","2.7","33.4","17","Layak Diminum"
